48-51-48-48-51-63-56-61-62-63;1
48-51-48-48-53-63-61-56-52-49;2
48-51-48-48-54-48-49-63-57-49;3
48-51-48-48-53-63-62-63-57-55;4
48-51-48-48-61-61-62-51-63-50;5
48-63-48-48-59-59-63-53-55-49;6
48-51-48-48-54-48-53-55-51-50;7
48-51-48-48-53-63-63-57-53-56;8
48-63-48-48-59-59-48-63-49-59;9
48-51-48-48-53-63-57-50-62-58;10
48-51-48-48-53-63-58-62-49-51;11
48-51-48-48-61-62-55-48-55-54;12
48-51-48-48-54-48-55-57-56-63;13
48-51-48-48-61-62-50-60-57-52;14
48-51-48-48-53-63-58-50-51-62;15
48-51-48-48-53-63-57-49-48-54;16
48-51-48-48-54-48-48-60-56-59;17
48-51-48-48-53-63-53-50-50-57;18
48-51-48-48-53-63-63-53-53-60;19
48-51-48-48-53-63-53-53-48-49;20
48-51-48-48-53-63-51-59-50-61;21
48-51-48-48-53-63-56-54-51-50;22
48-51-48-48-54-48-50-61-50-60;23
48-51-48-48-53-63-57-48-55-49;24
48-51-48-48-53-63-54-53-55-48;25
48-61-48-48-60-55-48-61-63-50;26
48-51-48-48-54-48-53-49-56-50;27
48-51-48-48-54-48-51-56-54-53;28
48-51-48-48-54-48-55-59-56-57;29
48-51-48-48-54-48-48-63-61-60;30
48-51-48-48-53-63-61-55-54-48;31
48-51-48-48-54-48-50-55-48-52;32
48-51-48-48-53-63-58-54-55-60;33
48-63-48-48-59-58-57-51-63-63;34
48-51-48-48-54-48-48-62-50-61;35
48-51-48-48-54-48-51-48-58-53;36
48-51-48-48-53-63-52-56-58-62;37
48-51-48-48-53-63-58-50-49-55;38
48-51-48-48-54-48-53-53-49-59;39
48-51-48-48-53-63-56-49-63-53;40
48-63-48-48-59-60-55-48-50-62;41
48-51-48-48-53-63-53-49-52-54;42
48-51-48-48-52-48-48-59-63-51;43
48-51-48-48-54-48-49-56-50-56;44
48-51-48-48-54-48-48-56-56-61;45
48-51-48-48-53-63-53-53-52-49;46
48-51-48-48-54-48-48-62-56-61;47
48-51-48-48-54-48-53-58-49-60;48
48-51-48-48-54-48-51-55-63-59;49
48-51-48-48-54-48-51-48-58-54;50
48-51-48-48-54-48-52-50-61-55;51
48-51-48-48-54-48-52-55-63-55;52
48-51-48-48-53-63-63-62-57-57;53
48-51-48-48-54-48-52-60-54-56;54
48-51-48-48-53-63-53-50-52-51;55
48-49-48-48-52-50-62-62-62-53;56
48-51-48-48-54-48-52-56-62-54;57
48-51-48-48-54-48-49-49-51-51;58
48-51-48-48-54-48-54-55-50-53;59
48-51-48-48-53-63-55-63-60-54;60
48-51-48-48-54-48-50-55-49-58;61
48-51-48-48-53-63-61-49-51-58;62
48-51-48-48-54-48-48-50-58-51;63
48-51-48-48-53-63-59-53-57-54;64
48-51-48-48-51-63-50-57-59-50;65
48-51-48-48-53-63-54-52-57-50;66
48-51-48-48-54-48-49-50-56-52;67
48-51-48-48-54-48-52-60-60-59;68
48-51-48-48-54-48-50-53-60-48;69
48-51-48-48-54-48-53-63-63-62;70
48-51-48-48-53-63-55-61-48-60;71
48-51-48-48-54-48-51-50-62-48;72
48-63-48-48-54-59-58-55-57-61;73
48-51-48-48-53-63-59-55-52-49;74
48-51-48-48-53-63-63-59-54-63;75
48-51-48-48-53-63-51-56-61-48;76
48-51-48-48-54-48-50-61-62-56;77
48-51-48-48-53-63-58-50-57-62;78
48-51-48-48-53-63-59-63-50-58;79
48-51-48-48-53-63-53-59-57-48;80
48-51-48-48-61-62-50-50-60-53;81
48-51-48-48-53-63-53-50-56-62;82
48-51-48-48-53-63-52-60-63-50;83
48-51-48-48-54-48-53-61-61-59;84
48-51-48-48-53-63-56-61-59-62;85
48-51-48-48-53-63-56-51-48-50;86
48-51-48-48-53-63-62-56-50-53;87
48-51-48-48-53-63-58-60-58-63;88
48-51-48-48-53-63-59-62-52-51;89
48-51-48-48-53-63-56-63-58-54;90
48-51-48-48-53-63-53-53-52-55;91
48-51-48-48-53-63-61-53-56-56;92
48-51-48-48-53-63-54-50-50-62;93
48-51-48-48-54-48-55-52-53-62;94
48-51-48-48-54-48-49-60-55-58;95
48-51-48-48-53-63-61-53-54-62;96
48-51-48-48-54-48-54-53-52-51;97
48-51-48-48-53-63-62-48-48-52;98
48-51-48-48-53-63-57-48-63-60;99
48-51-48-48-54-48-48-56-49-61;100
48-51-48-48-53-63-59-57-58-57;101
48-51-48-48-53-63-54-60-57-53;102
48-51-48-48-54-48-48-59-53-50;103
48-51-48-48-54-48-52-63-49-53;104
48-51-48-48-53-63-52-59-55-56;105
48-51-48-48-53-63-51-62-60-49;106
48-51-48-48-54-48-55-59-55-54;107
48-51-48-48-53-63-56-48-60-61;108
48-51-48-48-54-48-55-58-51-63;109
48-51-48-48-53-63-52-53-54-51;110
48-51-48-48-53-63-63-53-55-55;111
48-51-48-48-53-63-59-60-56-56;112
48-51-48-48-53-63-53-56-55-61;113
48-51-48-48-53-63-54-50-50-59;114
48-51-48-48-53-63-52-58-56-60;115
48-51-48-48-54-48-50-49-56-59;116
48-51-48-48-54-48-51-48-56-53;117
48-51-48-48-53-63-56-50-58-54;118
48-51-48-48-53-63-52-63-55-51;119
48-51-48-48-53-63-59-51-61-55;120
48-51-48-48-53-63-60-48-61-61;121
48-51-48-48-53-63-62-59-52-61;122
48-51-48-48-53-63-59-62-48-59;123
